CpG_Site,Coefficient,Mean_Beta_Value,Predictor
cg18493113,0.013147341,0.628570066,ICAM5
cg20893919,0.005281356,0.639117187,ICAM5
cg01333287,-0.008456825,0.641354635,ICAM5
cg15833286,-0.00359065,0.65983529,ICAM5
cg24581650,-0.006131122,0.664963304,ICAM5
cg20036207,-0.074634861,0.680170925,ICAM5
cg15844419,-0.008418051,0.680916134,ICAM5
cg16005592,-0.026040247,0.691763956,ICAM5
cg00517612,0.013194933,0.696579149,ICAM5
cg00474696,-0.001668208,0.705156056,ICAM5
cg12777474,-0.005476485,0.711181137,ICAM5
cg17922283,-0.010648825,0.711751914,ICAM5
cg27078670,6.03e-5,0.713403034,ICAM5
cg20295214,-0.025805192,0.715787708,ICAM5
cg06556905,-0.001905169,0.716516422,ICAM5
cg18862137,9.15596e-4,0.722690771,ICAM5
cg04824469,-0.004214943,0.732482003,ICAM5
cg14512156,0.007502197,0.742815367,ICAM5
cg20320946,-0.025648272,0.743050121,ICAM5
cg19287064,-0.002426204,0.753971342,ICAM5
cg06359938,-6.00976e-4,0.763282437,ICAM5
cg09659587,-0.005205474,0.76549299,ICAM5
cg15418419,-0.012020839,0.766321685,ICAM5
cg19439777,0.037337597,0.772692213,ICAM5
cg04734587,0.004282074,0.773718402,ICAM5
cg16616053,-0.00750711,0.776603803,ICAM5
cg15059371,-0.003372615,0.780230464,ICAM5
cg15123428,0.00748689,0.780496938,ICAM5
cg18236745,-0.012774215,0.785128565,ICAM5
cg09346503,-0.011971378,0.789211716,ICAM5
cg12588208,-0.00712528,0.790665045,ICAM5
cg11920264,-0.004241322,0.792290913,ICAM5
cg18500830,-0.004086197,0.79532057,ICAM5
cg08853359,-0.004212127,0.800556534,ICAM5
cg22607266,-0.007236962,0.807425086,ICAM5
cg09389557,0.007993475,0.807461731,ICAM5
cg06624020,-0.011165015,0.80964088,ICAM5
cg23413051,-0.002985427,0.811105762,ICAM5
cg21503148,0.013498584,0.812872675,ICAM5
cg05575921,-0.037126975,0.817338706,ICAM5
cg07315969,-6.12294e-4,0.824451394,ICAM5
cg08993681,0.006985742,0.828497423,ICAM5
cg00777560,-0.007417402,0.83264303,ICAM5
cg16178942,0.020034209,0.833234567,ICAM5
cg04426109,-8.99675e-4,0.836334022,ICAM5
cg19862272,-0.002460091,0.840290901,ICAM5
cg05516773,-0.001453547,0.843708421,ICAM5
cg08466517,-0.003720318,0.849993123,ICAM5
cg19972273,-0.008446671,0.85449056,ICAM5
cg03052099,0.006008176,0.857407336,ICAM5
cg17167581,-0.004894178,0.86395713,ICAM5
cg01329394,-0.005142707,0.865819008,ICAM5
cg13668646,0.011004724,0.878021723,ICAM5
cg19021412,-0.001974659,0.881091872,ICAM5
cg17287155,-0.01487953,0.883919247,ICAM5
cg21195176,0.011022967,0.884389863,ICAM5
cg11225745,-0.010885202,0.891902259,ICAM5
cg25990678,-0.0054622,0.896631628,ICAM5
cg11516540,0.003999062,0.930650208,ICAM5
cg21631753,0.013228986,0.932187696,ICAM5
cg25882887,0.002530976,0.944749056,ICAM5
cg05006473,0.007181239,0.952781968,ICAM5
cg06642617,-0.004142087,0.025741468,IGFBP-1
cg21150486,-0.013245533,0.028520356,IGFBP-1
cg22690075,-0.001525225,0.030647609,IGFBP-1
cg16996262,-0.010078876,0.031308806,IGFBP-1
cg02684904,-0.018272135,0.032785278,IGFBP-1
cg07916003,-8.2228e-4,0.032998536,IGFBP-1
cg01136750,-4.53728e-4,0.034112006,IGFBP-1
cg03493361,-0.027101254,0.034936639,IGFBP-1
cg17085666,-0.007637224,0.035989835,IGFBP-1
cg14878150,-0.023023696,0.036809483,IGFBP-1
cg19564098,0.001563898,0.038259903,IGFBP-1
cg20458124,-0.010160019,0.042734694,IGFBP-1
cg02727227,-0.003284923,0.043707148,IGFBP-1
cg05171021,0.007033282,0.043860641,IGFBP-1
cg20624041,-0.002016504,0.048899244,IGFBP-1
cg24969672,0.010965082,0.052003461,IGFBP-1
cg11263042,-1.32664e-4,0.052492526,IGFBP-1
cg15254990,-0.004063502,0.052622279,IGFBP-1
cg12005760,0.010290042,0.05606667,IGFBP-1
cg21813112,-0.002574492,0.060234618,IGFBP-1
cg05054115,0.001515299,0.060270969,IGFBP-1
cg14250054,-4.37787e-4,0.064471667,IGFBP-1
cg07536502,0.013559851,0.066678972,IGFBP-1
cg00574958,0.033245689,0.069615669,IGFBP-1
cg14855874,-0.003568972,0.072179025,IGFBP-1
cg06962442,-0.026500528,0.077132411,IGFBP-1
cg26538556,-5.24083e-4,0.085209572,IGFBP-1
cg21917084,-0.005214286,0.087819516,IGFBP-1
cg19266034,-0.010327457,0.089743395,IGFBP-1
cg04603419,0.01472938,0.090115778,IGFBP-1
cg03725447,0.006519964,0.093923671,IGFBP-1
cg05389183,-0.01024879,0.112572871,IGFBP-1
cg13639901,-0.007554056,0.117498243,IGFBP-1
cg26145959,-0.002041421,0.120512254,IGFBP-1
cg06797156,9.07366e-4,0.128221552,IGFBP-1
cg01396774,-0.00715608,0.157552749,IGFBP-1
cg09393448,0.00225043,0.162561055,IGFBP-1
cg17426166,-0.018216603,0.174469409,IGFBP-1
cg14252492,-0.001243529,0.175905373,IGFBP-1
cg04749549,-0.004850178,0.186036882,IGFBP-1
cg17086398,-2.09745e-4,0.239439081,IGFBP-1
cg12593793,0.008062232,0.240676829,IGFBP-1
cg26403843,-0.002096155,0.265764149,IGFBP-1
cg13722700,4.26947e-4,0.270323052,IGFBP-1
cg05298458,0.011814078,0.320020548,IGFBP-1
cg05248234,-0.007160314,0.350807748,IGFBP-1
cg11024682,-0.036241794,0.355225537,IGFBP-1
cg07068382,-0.02138705,0.358831392,IGFBP-1
cg11562153,-0.005111485,0.379200258,IGFBP-1
cg05301470,6.99146e-4,0.392908911,IGFBP-1
cg06362985,-0.001186746,0.3943302,IGFBP-1
cg12944343,0.011026337,0.396128611,IGFBP-1
cg13478001,-0.025127146,0.413786588,IGFBP-1
cg15194935,0.014239802,0.415541353,IGFBP-1
cg25094735,-0.030016709,0.428183749,IGFBP-1
cg07687172,0.008302103,0.431215865,IGFBP-1
cg19458497,-0.02271157,0.441507713,IGFBP-1
cg12977447,3.77934e-4,0.444086135,IGFBP-1
cg17338254,0.017310443,0.446937686,IGFBP-1
cg25178683,-0.023174896,0.481730842,IGFBP-1
cg05232694,0.01555579,0.48480373,IGFBP-1
cg06500161,-0.069147093,0.486511073,IGFBP-1
cg17486314,-0.004403573,0.486777388,IGFBP-1
cg01597398,0.018635939,0.489348997,IGFBP-1
cg08319294,-0.010301166,0.49856193,IGFBP-1
cg14476101,0.042559604,0.506141446,IGFBP-1
cg20083442,-0.004343319,0.519665994,IGFBP-1
cg03594868,-0.00523338,0.546227198,IGFBP-1
cg03013070,-0.005638219,0.549775763,IGFBP-1
cg02069674,-0.003282969,0.553370835,IGFBP-1
cg22950899,-4.55992e-4,0.564216692,IGFBP-1
cg20773033,-0.02139085,0.591337423,IGFBP-1
cg07502936,0.001071111,0.594961358,IGFBP-1
cg07134316,-0.004230517,0.624506482,IGFBP-1
cg27244482,0.002412483,0.630209194,IGFBP-1
cg13747681,-5.63758e-4,0.643835057,IGFBP-1
cg07306755,0.012686549,0.664411667,IGFBP-1
cg08622729,-4.64785e-4,0.668258317,IGFBP-1
cg00441709,-0.052220105,0.670265065,IGFBP-1
cg15077792,-4.59701e-4,0.682195931,IGFBP-1
cg13017813,0.019762773,0.685760496,IGFBP-1
cg18351448,0.010329385,0.691586239,IGFBP-1
cg16176675,-0.002072121,0.698373618,IGFBP-1
cg19112236,-1.60147e-4,0.718621318,IGFBP-1
cg08167466,-0.015619201,0.731109668,IGFBP-1
cg14508633,-7.36e-5,0.745485208,IGFBP-1
cg17384769,-0.016963791,0.747138443,IGFBP-1
cg06690548,0.003596117,0.74974841,IGFBP-1
cg17005223,0.001319011,0.755573333,IGFBP-1
cg26385126,-0.00270469,0.766238346,IGFBP-1
cg19300650,-0.009766881,0.767528957,IGFBP-1
cg11643285,0.049374239,0.771938087,IGFBP-1
cg11211624,0.007467284,0.774556411,IGFBP-1
cg21042285,-0.01188443,0.782603343,IGFBP-1
cg21544475,0.005639475,0.78708013,IGFBP-1
cg17276103,0.012215129,0.789820615,IGFBP-1
cg03972163,-0.01700523,0.794401164,IGFBP-1
cg24602369,-0.015037317,0.79701776,IGFBP-1
cg10794086,-0.004946665,0.79746163,IGFBP-1
cg11903854,0.002398086,0.803600021,IGFBP-1
cg05824502,-7.39337e-4,0.811741643,IGFBP-1
cg00994936,-1.93956e-4,0.811814494,IGFBP-1
cg08735172,0.002264513,0.827253118,IGFBP-1
cg04285141,0.011071676,0.827679574,IGFBP-1
cg18778299,-0.006660091,0.828082757,IGFBP-1
cg00860425,-0.022350214,0.832223478,IGFBP-1
cg00500048,0.00730579,0.833262261,IGFBP-1
cg12600692,-0.006552531,0.845483558,IGFBP-1
cg16856722,-0.00953041,0.852129379,IGFBP-1
cg00116658,0.004376793,0.855374889,IGFBP-1
cg10235845,-0.018025221,0.870853642,IGFBP-1
cg06307943,0.010896814,0.880475722,IGFBP-1
cg11019008,-0.001706952,0.893818306,IGFBP-1
cg02995791,-0.006855176,0.89483083,IGFBP-1
cg27176796,0.013905836,0.895236916,IGFBP-1
cg23355015,-0.001278572,0.904949859,IGFBP-1
cg01666550,0.003639502,0.966230398,IGFBP-1
cg22745355,0.001189708,0.970115476,IGFBP-1
cg25428929,0.009719925,0.973868536,IGFBP-1
cg15705062,0.008310056,0.976540327,IGFBP-1
cg19551573,0.002426695,0.027495707,IGFBP-4
cg10599035,-0.002064577,0.028647184,IGFBP-4
cg08976163,0.018822126,0.028745597,IGFBP-4
cg24651265,-0.001130578,0.034217313,IGFBP-4
cg06302803,-0.002202237,0.034662409,IGFBP-4
cg14116416,0.004714529,0.03690244,IGFBP-4
cg11691093,-0.005298901,0.036950594,IGFBP-4
cg13684444,-0.001116326,0.037798682,IGFBP-4
cg14699126,0.002484326,0.037974499,IGFBP-4
cg18118033,0.001192324,0.038052091,IGFBP-4
cg20079193,0.008384979,0.039678627,IGFBP-4
cg07583667,-0.001556486,0.042912304,IGFBP-4
cg19774624,-5.85138e-4,0.04734567,IGFBP-4
cg12301744,4.48297e-4,0.048028453,IGFBP-4
cg08356572,0.014232263,0.062250048,IGFBP-4
cg08016363,-0.002170935,0.066148246,IGFBP-4
cg22877570,-0.006664688,0.068808127,IGFBP-4
cg07339236,-0.018092446,0.119487849,IGFBP-4
cg02060584,-5.56221e-4,0.131354814,IGFBP-4
cg05059613,-0.008638999,0.1320974,IGFBP-4
cg16677191,-0.001859289,0.151804111,IGFBP-4
cg25246084,-0.011175084,0.154056099,IGFBP-4
cg26257814,0.00769693,0.20689515,IGFBP-4
cg12773030,-0.009516188,0.207014729,IGFBP-4
cg23517208,7.09536e-4,0.230469701,IGFBP-4
cg25983380,0.006950986,0.304998273,IGFBP-4
cg07504977,0.03724364,0.306406061,IGFBP-4
cg03310838,-7.38396e-4,0.31152347,IGFBP-4
cg07869023,-2.18679e-4,0.312068543,IGFBP-4
cg17969123,-0.015998209,0.320967292,IGFBP-4
cg03264550,0.010000842,0.32125708,IGFBP-4
cg19918208,-0.011625274,0.337182743,IGFBP-4
cg11024682,0.01117785,0.355225537,IGFBP-4
cg14643075,0.007368893,0.373260626,IGFBP-4
cg10241823,0.007594364,0.380094704,IGFBP-4
cg16931969,-3.78066e-4,0.421692272,IGFBP-4
cg18315680,9.43362e-4,0.424882914,IGFBP-4
cg15815084,-0.007280399,0.490309903,IGFBP-4
cg11095027,0.029126295,0.511736871,IGFBP-4
cg02790691,-0.002260134,0.532516032,IGFBP-4
cg26200598,0.0067442,0.555164048,IGFBP-4
cg10433043,0.003891671,0.567749807,IGFBP-4
cg01588592,6.58e-5,0.606310467,IGFBP-4
cg01459453,-0.018194869,0.610000578,IGFBP-4
cg24313249,-0.002603048,0.631970324,IGFBP-4
cg21573911,-0.016652326,0.640705674,IGFBP-4
cg01256539,-0.010322373,0.649275927,IGFBP-4
cg01571916,-1.52948e-4,0.656434612,IGFBP-4
cg25617058,-0.01432636,0.659168796,IGFBP-4
cg25718365,0.018875578,0.701609143,IGFBP-4
cg09256832,0.014029659,0.701675432,IGFBP-4
cg26825341,-0.024075397,0.726011765,IGFBP-4
cg19784816,0.005286226,0.744909874,IGFBP-4
cg06690548,-0.076073439,0.74974841,IGFBP-4
cg12584355,4.28652e-4,0.765328426,IGFBP-4
cg06711259,-0.005549316,0.773512146,IGFBP-4
cg15342087,-0.031171621,0.780709274,IGFBP-4
cg01217815,0.003422867,0.795585047,IGFBP-4
cg21221540,0.002048136,0.801392775,IGFBP-4
cg16648911,-0.00536701,0.808922889,IGFBP-4
cg16729283,0.001599286,0.811578877,IGFBP-4
cg15658344,-0.007203891,0.812665091,IGFBP-4
cg12806681,-0.002799862,0.815692717,IGFBP-4
cg00460818,0.007205471,0.832140356,IGFBP-4
cg19774288,0.014376879,0.833934388,IGFBP-4
cg02795546,0.002578291,0.837045671,IGFBP-4
cg08619528,0.006458477,0.84987757,IGFBP-4
cg04296321,0.00264216,0.873832433,IGFBP-4
cg03294961,0.031578278,0.88233236,IGFBP-4
cg23306063,-0.013774379,0.892873082,IGFBP-4
cg05400732,0.006670048,0.895518916,IGFBP-4
cg12074585,-1.96773e-4,0.978043143,IGFBP-4
cg06620654,0.020835428,0.026256533,Insulin receptor
cg08479688,0.038384317,0.02674267,Insulin receptor
cg10768682,0.026342034,0.030175414,Insulin receptor
cg19311602,-0.009481097,0.030805983,Insulin receptor
cg23906144,0.02261366,0.032429826,Insulin receptor
cg01077808,0.0291051,0.033209862,Insulin receptor
cg17419241,0.049336908,0.036419043,Insulin receptor
cg00868383,0.002026184,0.036876047,Insulin receptor
cg18824571,-0.016783958,0.037083033,Insulin receptor
cg24607181,0.003789244,0.040000881,Insulin receptor
cg14558262,-0.006323849,0.046659434,Insulin receptor
cg15775457,-0.007777808,0.049980755,Insulin receptor
cg09995897,-9.72367e-4,0.077249444,Insulin receptor
cg26528541,0.009722791,0.097901807,Insulin receptor
cg05568761,7.27473e-4,0.12300977,Insulin receptor
cg19714279,0.002086283,0.1526105,Insulin receptor
cg16419235,0.003413785,0.19387008,Insulin receptor
cg12655542,0.020935248,0.216776922,Insulin receptor
cg15930380,-0.011931935,0.288628651,Insulin receptor
cg19658332,-0.005780763,0.289061756,Insulin receptor
cg20668765,4.65019e-4,0.366908332,Insulin receptor
cg06981309,0.001553431,0.370878817,Insulin receptor
cg05129572,0.012114698,0.424633707,Insulin receptor
cg26444116,-0.001549275,0.497036541,Insulin receptor
cg27154941,-0.003706635,0.574062785,Insulin receptor
cg04104695,-0.016251672000000002,0.622603641,Insulin receptor
cg15698196,0.00553175,0.64732019,Insulin receptor
cg14440550,-0.038357721,0.650162932,Insulin receptor
cg11719157,-0.006326243,0.660232882,Insulin receptor
cg21477638,9.36645e-4,0.66435684800000006,Insulin receptor
cg20426671,-2.29439e-4,0.693161808,Insulin receptor
cg03625953,0.005869244,0.694373535,Insulin receptor
cg06024391,-0.002348899,0.725003814,Insulin receptor
cg03059382,0.007005868,0.734075238,Insulin receptor
cg02633149,-0.033560113,0.741730955,Insulin receptor
cg20247661,0.004533719,0.765401614,Insulin receptor
cg12064929,0.010067544,0.771590052,Insulin receptor
cg15155360,-0.008506518,0.776654782,Insulin receptor
cg15935121,-0.008524835,0.783171128,Insulin receptor
cg27386614,-0.002879278,0.794731822,Insulin receptor
cg23668222,-0.006197492,0.797688752,Insulin receptor
cg11168006,0.00321031,0.80315851,Insulin receptor
cg17107691,0.007407526,0.812056732,Insulin receptor
cg20889445,6.98905e-4,0.822399153,Insulin receptor
cg01082057,4.18343e-4,0.846621166,Insulin receptor
cg14259466,-0.002628957,0.877695617,Insulin receptor
cg05387996,-0.012271738,0.885300783,Insulin receptor
cg26573274,-0.003655975,0.902505389,Insulin receptor
cg26332488,-0.038490847,0.906066894,Insulin receptor
cg04341097,-0.005020198,0.917376534,Insulin receptor
cg09159050,-0.028771387,0.943813311,Insulin receptor
cg02715797,0.014331196,0.02531994,Interleukin-19
cg15668587,5.94266e-4,0.026091581,Interleukin-19
cg04542325,0.003562904,0.028281467,Interleukin-19
cg19199142,8.26649e-4,0.02979456,Interleukin-19
cg18217145,5.72306e-4,0.030413736,Interleukin-19
cg21705221,0.014308973,0.030915317,Interleukin-19
cg22682031,1.1529e-4,0.032008877,Interleukin-19
cg01077808,0.010160884,0.033209862,Interleukin-19
cg13924809,0.006412257,0.035918462,Interleukin-19
cg20009641,0.011449812,0.036106599,Interleukin-19
cg12445115,0.001022788,0.036234737,Interleukin-19
cg06023646,0.003275761,0.036489474,Interleukin-19
cg19267259,0.054779339,0.036514306,Interleukin-19
cg09428537,0.005080626,0.036741004,Interleukin-19
cg02762393,-0.025806904,0.041035572,Interleukin-19
cg18011946,-0.015551777,0.041309704,Interleukin-19
cg04199473,0.01149582,0.043031553,Interleukin-19
cg04914357,0.001456057,0.044385708,Interleukin-19
cg06873806,-0.021757936,0.045649183,Interleukin-19
cg07190917,-0.0053938120000000004,0.045965589,Interleukin-19
cg26213873,-0.003913106,0.046062468,Interleukin-19
cg10333808,5.69e-5,0.04982418,Interleukin-19
cg13226172,-0.00121141,0.055335077,Interleukin-19
cg14839323,0.002210563,0.056699951,Interleukin-19
cg07561848,0.003751169,0.058751193,Interleukin-19
cg23883989,0.005610792,0.059277282,Interleukin-19
cg21001487,-0.00374571,0.068886568,Interleukin-19
cg19694200,-0.012503085,0.079490166,Interleukin-19
cg00505502,-5.40579e-4,0.096728208,Interleukin-19
cg17010100,-0.005778557,0.122139135,Interleukin-19
cg20687940,0.005007195,0.140377245,Interleukin-19
cg20818778,-0.01361749,0.150734832,Interleukin-19
cg24713122,0.006040306,0.159626933,Interleukin-19
cg12054453,0.012003749,0.209963167,Interleukin-19
cg09349128,0.0019294,0.243665125,Interleukin-19
cg25485435,0.013936962,0.266644438,Interleukin-19
cg09002919,-0.008752693,0.271987988,Interleukin-19
cg19295068,0.062782695,0.281008688,Interleukin-19
cg22505086,0.013551185,0.30565295,Interleukin-19
cg15450224,0.005417949,0.323834357,Interleukin-19
cg25500028,-0.001082384,0.388888384,Interleukin-19
cg09178025,-5.73148e-4,0.413644898,Interleukin-19
cg06117341,-0.005859112,0.414608578,Interleukin-19
cg07546943,-0.005485574,0.463609907,Interleukin-19
cg17715419,0.004393496,0.496769848,Interleukin-19
cg25741837,0.003012168,0.500436945,Interleukin-19
cg10472711,0.018503231,0.530644995,Interleukin-19
cg06744585,0.042235883,0.539868376,Interleukin-19
cg08767686,0.030463787,0.553820359,Interleukin-19
cg24891660,-0.006907031,0.572163256,Interleukin-19
cg06489965,-0.002776219,0.572200791,Interleukin-19
cg14245185,-0.009605704,0.598402453,Interleukin-19
cg15033511,0.001971284,0.613965766,Interleukin-19
cg05935075,-0.010520228,0.652822934,Interleukin-19
cg11054192,-0.011669986,0.659278308,Interleukin-19
cg02069772,0.014748616,0.666921819,Interleukin-19
cg00325917,-0.009029421,0.675869855,Interleukin-19
cg00093971,-0.018852567,0.699191427,Interleukin-19
cg12374353,-0.017069534,0.710594575,Interleukin-19
cg04473095,-0.041483631,0.712250068,Interleukin-19
cg15108699,1.49442e-4,0.743090779,Interleukin-19
cg16009741,-9.83691e-4,0.756669996,Interleukin-19
cg27567761,-0.004811207,0.797112572,Interleukin-19
cg10775173,-0.006868109,0.816234911,Interleukin-19
cg24152098,0.00502464,0.817060087,Interleukin-19
cg23471338,-0.002942923,0.817786308,Interleukin-19
cg23955860,-0.006812776,0.823146787,Interleukin-19
cg19689679,-0.031132981,0.834481774,Interleukin-19
cg00818822,6.96694e-4,0.835279377,Interleukin-19
cg14726821,0.046955354,0.840387119,Interleukin-19
cg02103362,0.00479683,0.840557229,Interleukin-19
cg18093771,3.84434e-4,0.84639834,Interleukin-19
cg12636499,-0.002844489,0.855687353,Interleukin-19
cg09532575,-0.002108048,0.858474108,Interleukin-19
cg22561384,-0.005286865,0.861287059,Interleukin-19
cg01191286,0.001633602,0.865026741,Interleukin-19
cg07315356,0.006173272,0.866217905,Interleukin-19
cg14059665,0.002142728,0.871203859,Interleukin-19
cg26772255,0.001267701,0.87182978,Interleukin-19
cg23634829,0.002197699,0.904038549,Interleukin-19
cg22499215,-2.07213e-4,0.946909417,Interleukin-19
cg14703610,0.008008223,0.027960187,L-selectin
cg14526939,0.002872664,0.037571791,L-selectin
cg26483578,-0.003553854,0.037796393,L-selectin
cg09043153,-5.9939e-4,0.039599423,L-selectin
cg23385388,-0.002906837,0.040505364,L-selectin
cg22104478,0.001090504,0.055227994,L-selectin
cg00134210,0.010472151,0.056248353,L-selectin
cg20235337,-0.00993572,0.05656391,L-selectin
cg01988891,0.004729318,0.056910326,L-selectin
cg21329599,-0.003651459,0.061720632,L-selectin
cg16729160,0.002732898,0.065367484,L-selectin
cg26544594,-0.00571227,0.071765008,L-selectin
cg22011731,-0.001639489,0.079651724,L-selectin
cg11073558,-0.013995377,0.081327636,L-selectin
cg21393163,0.023406354,0.092563945,L-selectin
cg05981038,-3.69967e-4,0.093996403,L-selectin
cg16557204,0.001869306,0.098133102,L-selectin
cg04630292,-0.020794469,0.098281499,L-selectin
cg02867102,0.004529877,0.103162565,L-selectin
cg09701702,-0.022744282,0.111631026,L-selectin
cg06942649,0.007951386,0.119979771,L-selectin
cg12686441,0.003408426,0.122873475,L-selectin
cg07502389,-0.020857789,0.135806245,L-selectin
cg15522171,-0.001575238,0.144019409,L-selectin
cg25988321,-0.002340329,0.144161147,L-selectin
cg13743231,0.004770768,0.145810094,L-selectin
cg18458509,0.002693298,0.153902242,L-selectin
cg02711608,0.005478057,0.160429672,L-selectin
cg08872353,-6.97273e-4,0.17781627,L-selectin
cg02858402,-0.019511973,0.201522336,L-selectin
cg05438378,0.061277693,0.211365968,L-selectin
cg26187205,0.002603465,0.214037884,L-selectin
cg01005080,0.001772514,0.289272075,L-selectin
cg01719405,0.006667556,0.313598924,L-selectin
cg01411366,0.008546325,0.314253723,L-selectin
cg15150970,-9.53413e-4,0.332031109,L-selectin
cg08173263,-0.067584637,0.332057568,L-selectin
cg15044270,0.004782048,0.351923346,L-selectin
cg26825412,0.002366313,0.359267461,L-selectin
cg20507228,-0.026903107,0.364829667,L-selectin
cg00973876,0.024891302,0.365042342,L-selectin
cg05374025,0.001657334,0.367827855,L-selectin
cg13707224,0.004432234,0.372028919,L-selectin
cg07839457,-0.012800563,0.410350882,L-selectin
cg21325715,0.023508601,0.435932122,L-selectin
cg01109535,0.002638887,0.435963317,L-selectin
cg09502149,0.006000972,0.436943811,L-selectin
cg26336935,0.002693095,0.454933102,L-selectin
cg01119072,-0.013571681,0.476532902,L-selectin
cg06500161,-0.02566155,0.486511073,L-selectin
cg25352592,-0.001391646,0.495556497,L-selectin
cg06688763,-0.013934949,0.524627922,L-selectin
cg09117405,0.011845192,0.527871328,L-selectin
cg09072576,7.78515e-4,0.536209512,L-selectin
cg10752676,0.006633424,0.541888629,L-selectin
cg22454769,-0.006749728,0.545068909,L-selectin
cg13126206,0.007436582,0.54848819,L-selectin
cg01149053,-0.004316222,0.559033225,L-selectin
cg16313758,0.007293765,0.559076732,L-selectin
cg21721340,0.01054424,0.568433263,L-selectin
cg19784428,0.006909281,0.594845125,L-selectin
cg26687842,-0.033122853,0.597411356,L-selectin
cg16983541,0.006397628,0.616926795,L-selectin
cg16894819,0.001141137,0.620938595,L-selectin
cg25818583,0.014799546,0.62448651,L-selectin
cg10566581,-0.02846997,0.624768266,L-selectin
cg17389813,0.004072717,0.637195139,L-selectin
cg22304262,0.010971813,0.640303623,L-selectin
cg06681845,0.016736545,0.655490266,L-selectin
cg17800497,-0.013353828,0.656891762,L-selectin
cg22397926,-0.004929052,0.662439,L-selectin
cg25120405,0.014120429,0.689196139,L-selectin
cg09027725,0.0037582,0.691999131,L-selectin
cg26266274,0.002900166,0.697439187,L-selectin
cg00227665,-0.002339537,0.702362943,L-selectin
cg14609236,-0.003682216,0.723463645,L-selectin
cg16288101,0.008663584,0.735752922,L-selectin
cg03462943,-0.004169466,0.737762147,L-selectin
cg05106191,-0.02923546,0.748920974,L-selectin
cg06690548,0.030415383,0.74974841,L-selectin
cg22055337,-6.11461e-4,0.752061061,L-selectin
cg17385414,0.003557679,0.75786557,L-selectin
cg19565714,0.009153041,0.758931421,L-selectin
cg07037509,0.005522119,0.770784693,L-selectin
cg05996538,0.009841124,0.773966401,L-selectin
cg20860726,-7.07232e-4,0.783795256,L-selectin
cg17830167,0.002011276,0.785490044,L-selectin
cg14896458,0.011159806,0.799037906,L-selectin
cg12207367,2.5236e-4,0.80666735,L-selectin
cg24184737,0.012532892,0.817294495,L-selectin
cg23112821,0.041546387,0.819189748,L-selectin
cg00137918,-0.024475275,0.845310827,L-selectin
cg09668951,0.011573785,0.8464234,L-selectin
cg11705954,0.007671458,0.846805094,L-selectin
cg08855903,-0.005816953,0.849063531,L-selectin
cg11414610,-4.47943e-4,0.861127172,L-selectin
cg17169015,0.003149664,0.867614521,L-selectin
cg24532476,-0.004728876,0.870260142,L-selectin
cg21154964,-0.006641153,0.95930135,L-selectin
cg21465517,-0.001795369,0.016912034,LFT
cg26824807,-0.004552456,0.025290984,LFT
cg01850934,0.009532777,0.026603673,LFT
cg02897449,-0.008687017,0.029801182,LFT
cg13153394,0.001315399,0.032100965,LFT
cg14669514,-0.023539457,0.034748252,LFT
cg04286043,0.002814601,0.03708057,LFT
cg25925670,-0.016961513,0.038070467,LFT
cg12332415,0.011727091,0.04142297,LFT
cg03211283,-0.00793441,0.043382301,LFT
cg09198694,-0.007145353,0.043923587,LFT
cg05222924,-0.002398971,0.110985361,LFT
cg00452199,-0.031195023,0.117832422,LFT
cg01602621,-4.68411e-4,0.118248916,LFT
cg13540960,-0.011475453,0.230236533,LFT
cg06362282,-0.003690629,0.308330984,LFT
cg16936953,0.006781037,0.374834462,LFT
cg01756799,-0.005613753,0.405974801,LFT
cg10289177,-0.007034499,0.457666997,LFT
cg20442697,6.55e-5,0.473433057,LFT
cg00187059,-0.004481924,0.474374882,LFT
cg14088282,0.002028006,0.477064754,LFT
cg03450842,-0.004548829,0.483585085,LFT
cg18346531,0.027951581,0.542226771,LFT
cg13827287,-0.005313134,0.557451659,LFT
cg23570810,0.023712911,0.567789302,LFT
cg05122026,-0.014339758,0.578050173,LFT
cg04275506,0.004428917,0.589155925,LFT
cg08503681,4.44546e-4,0.591556636,LFT
cg26703534,-0.030507629,0.608573121,LFT
cg17304025,0.016631475,0.622448009,LFT
cg08709672,-3.04614e-4,0.629535153,LFT
cg13997765,-0.035826856,0.724951954,LFT
cg20331322,-0.004598917,0.728753979,LFT
cg21720306,-0.005150069,0.733429217,LFT
cg05191264,-3.76e-5,0.767969044,LFT
cg27101633,0.009075182,0.777861819,LFT
cg07775813,-0.005946772,0.778350066,LFT
cg06034664,0.011945484,0.8022563,LFT
cg10690277,-0.007887515,0.814182957,LFT
cg10436473,0.020429955,0.829368267,LFT
cg26475594,0.010457383,0.830798737,LFT
cg06791091,0.001015154,0.832806599,LFT
cg09526215,0.001644459,0.848561174,LFT
cg00971369,-5.90275e-4,0.851692643,LFT
cg23657718,0.004291709,0.852123913,LFT
cg00723277,-0.013981666,0.853628056,LFT
cg16521443,0.022703133,0.868763042,LFT
cg26265933,-0.001326898,0.880086084,LFT
cg18820914,-0.021154542,0.89822723,LFT
cg24924502,0.009051345,0.913678357,LFT
cg18887608,-0.001324988,0.018860906,LGALS3BP
cg16491677,-0.004756304,0.022399352,LGALS3BP
cg04395977,-9.91142e-4,0.022934817,LGALS3BP
cg24685006,-0.008923273,0.023533494,LGALS3BP
